Index;Date;AssessedValue;Message
29;Thu Nov 13 00:54:45 CET 2014;7.24;RT Desstiniee: “__mykele: Dess rey be with quran all week? they so cute?”? thank you thank you
30;Thu Nov 13 00:54:42 CET 2014;6.09;RT _Why_Islam: A little advice for my brothers and sisters :) islam muslim duaa quran bedtime allah alhamdullilah muslimeen http:/…
31;Thu Nov 13 00:53:19 CET 2014;7.24;“__mykele: Dess rey be with quran all week? they so cute?”? thank you thank you
32;Thu Nov 13 00:52:58 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
33;Thu Nov 13 00:52:29 CET 2014;-1.0;RT _M_G_W_V_: ????????
34;Thu Nov 13 00:52:24 CET 2014;-1.0;RT _M_G_W_V_: ????????
35;Thu Nov 13 00:52:23 CET 2014;-1.0;RT _M_G_W_V_: ????????
36;Thu Nov 13 00:52:21 CET 2014;-1.0;RT DMZVET: NATO IslamicEbooks Message from God and the Dead Prophet Mohamed
37;Thu Nov 13 00:52:17 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
38;Thu Nov 13 00:52:09 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
39;Thu Nov 13 00:51:51 CET 2014;-1.0;RT _M_G_W_V_: ????????
40;Thu Nov 13 00:51:51 CET 2014;-1.0;Women are taking the Bible, Quran, Torah, Constitution, The Grapes of Wrath and defecating on them with their words http://t.co/SNuvoibWE7
41;Thu Nov 13 00:51:31 CET 2014;-1.0;RT _M_G_W_V_: ????????
42;Thu Nov 13 00:51:29 CET 2014;5.48;Quran's been burned by Jews, this is an old magic tradition I believe. http://t.co/1Cz32d4Gpv
43;Thu Nov 13 00:51:12 CET 2014;-1.0;RT _M_G_W_V_: ????????
44;Thu Nov 13 00:50:53 CET 2014;-1.0;RT _M_G_W_V_: ????????
45;Thu Nov 13 00:50:45 CET 2014;-1.0;NATO IslamicEbooks Message from God and the Dead Prophet Mohamed
46;Thu Nov 13 00:50:35 CET 2014;5.33;MrHappy4870 AP Muslim, Muhammad, Quran & Islam = a female suicide bomber. Islamophobia = religion is no reason to commit suicide..
47;Thu Nov 13 00:50:29 CET 2014;-1.0;RT _M_G_W_V_: ????????
48;Thu Nov 13 00:50:18 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
49;Thu Nov 13 00:50:14 CET 2014;6.08;RT laila_haya: New generation :
50;Thu Nov 13 00:50:13 CET 2014;4.5;RT AlakhbarEnglish: Israeli settlers torch mosque, copies of the Quran in WestBank 
51;Thu Nov 13 00:50:07 CET 2014;-1.0;RT MYVETERAN: NATO IslamicEbooks Message from God and the Dead Prophet Mohamed
52;Thu Nov 13 00:50:05 CET 2014;-1.0;Beautiful Recitation of Quran in USA http://t.co/iilO8JRSFO islam Muslims Muslim Europe USA World Russia Australia Asia
53;Thu Nov 13 00:50:05 CET 2014;4.01;jihadforkhilafa Actually the punishment for Adultery is already given in the Quran and it's not death. Quran is the foremost authority.
54;Thu Nov 13 00:49:54 CET 2014;6.41;RT IslamicEbooks: Did you know that there are 60000 meanings for every verse of the [Quraan,Quran}? http://t.co/vA10YioxPY
55;Thu Nov 13 00:49:53 CET 2014;-1.0;Recluse
56;Thu Nov 13 00:49:51 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
57;Thu Nov 13 00:49:46 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
58;Thu Nov 13 00:49:45 CET 2014;-1.0;RT _M_G_W_V_: ????????
59;Thu Nov 13 00:49:38 CET 2014;-1.0;RT _M_G_W_V_: ????????
60;Thu Nov 13 00:49:34 CET 2014;-1.0;RT _M_G_W_V_: ????????
61;Thu Nov 13 00:49:23 CET 2014;5.57;I just want to go to an island and alienate myself
62;Thu Nov 13 00:49:18 CET 2014;-1.0;RT _M_G_W_V_: ????????
63;Thu Nov 13 00:49:08 CET 2014;-1.0;NATO IslamicEbooks Message from God and the Dead Prophet Mohamed
64;Thu Nov 13 00:48:53 CET 2014;-1.0;RT _M_G_W_V_: ????????
65;Thu Nov 13 00:48:52 CET 2014;4.71;RT shehassy_: What Quran does is actually it takes you from darkness into the Light http://t.co/jS8Vy9Ysqz
66;Thu Nov 13 00:48:51 CET 2014;-1.0;RT _M_G_W_V_: ????????
67;Thu Nov 13 00:48:26 CET 2014;-1.0;RT _M_G_W_V_: ????????
68;Thu Nov 13 00:48:25 CET 2014;6.32;RT zedarsln: If you want talk to Allah, then pray.
69;Thu Nov 13 00:48:25 CET 2014;-1.0;RT _M_G_W_V_: ????????
70;Thu Nov 13 00:48:23 CET 2014;-1.0;RT _M_G_W_V_: ????????
71;Thu Nov 13 00:48:12 CET 2014;7.19;RT The_MuslimTimes: Meteors: Establish the truth of the Holy Quran
72;Thu Nov 13 00:48:03 CET 2014;-1.0;RT _M_G_W_V_: ????????
73;Thu Nov 13 00:48:00 CET 2014;-1.0;RT _M_G_W_V_: ????????
74;Thu Nov 13 00:47:50 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
75;Thu Nov 13 00:47:44 CET 2014;-1.0;RT AerxlHeroes: *Results day*
76;Thu Nov 13 00:47:34 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
77;Thu Nov 13 00:47:31 CET 2014;-1.0;RT _M_G_W_V_: ????????
78;Thu Nov 13 00:47:24 CET 2014;-1.0;RT _M_G_W_V_: ????????
79;Thu Nov 13 00:47:18 CET 2014;6.49;RT justamuslimah: ? Don't limit your relationship with the Quran " Ramadan to Ramadan ",keep you relationship through out the year by at l…
80;Thu Nov 13 00:47:11 CET 2014;-1.0;http://t.co/xC66tMKofb has 14 Users Online! - http://t.co/Usg5VrlF5Z
81;Thu Nov 13 00:47:07 CET 2014;-1.0;RT _M_G_W_V_: ????????
82;Thu Nov 13 00:47:04 CET 2014;-1.0;RT _M_G_W_V_: ????????
83;Thu Nov 13 00:46:56 CET 2014;-1.0;RT _M_G_W_V_: ????????
84;Thu Nov 13 00:46:55 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
85;Thu Nov 13 00:46:51 CET 2014;-1.0;Sadgrovem islamrevisited2 
86;Thu Nov 13 00:46:50 CET 2014;-1.0;RT _M_G_W_V_: ????????
87;Thu Nov 13 00:46:41 CET 2014;-1.0;RT _M_G_W_V_: ????????
88;Thu Nov 13 00:46:36 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
89;Thu Nov 13 00:46:32 CET 2014;7.19;RT The_MuslimTimes: Meteors: Establish the truth of the Holy Quran
90;Thu Nov 13 00:46:28 CET 2014;-1.0;RT _M_G_W_V_: ????????
91;Thu Nov 13 00:46:25 CET 2014;-1.0;RT _M_G_W_V_: ????????
92;Thu Nov 13 00:46:23 CET 2014;4.1;RT raja_izzu: Al-Quran is the best medicine for a sick soul.
93;Thu Nov 13 00:46:18 CET 2014;-1.0;RT _M_G_W_V_: ????????
94;Thu Nov 13 00:46:07 CET 2014;6.41;RT IslamicEbooks: Did you know that there are 60000 meanings for every verse of the [Quraan,Quran}? http://t.co/vA10YioxPY
95;Thu Nov 13 00:45:54 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
96;Thu Nov 13 00:45:53 CET 2014;-1.0;Photo: theistikan: Islamic Art and Calligraphy, Ottoman Quran 15th C http://t.co/U5wBmVN1pe
97;Thu Nov 13 00:45:47 CET 2014;5.73;RT SunniPrisoners: Iran arrests 16 Ahwazi Sunni converts at Qur'an class in Ahwaz
98;Thu Nov 13 00:45:42 CET 2014;-1.0;RT _M_G_W_V_: ????????
99;Thu Nov 13 00:45:39 CET 2014;-1.0;RT _M_G_W_V_: ????????
100;Thu Nov 13 00:45:36 CET 2014;-1.0;RT _M_G_W_V_: ????????
101;Thu Nov 13 00:45:35 CET 2014;-1.0;RT _M_G_W_V_: ????????
102;Thu Nov 13 00:45:32 CET 2014;-1.0;RT _M_G_W_V_: ????????
103;Thu Nov 13 00:45:30 CET 2014;-1.0;RT _M_G_W_V_: ????????
104;Thu Nov 13 00:45:21 CET 2014;6.27;islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
105;Thu Nov 13 00:45:10 CET 2014;-1.0;RT _M_G_W_V_: ????????
106;Thu Nov 13 00:45:01 CET 2014;7.05;"The Quran is not something to believe in, it's the signpost to something to believe in. It means to an end, not the end" RezaAslan
107;Thu Nov 13 00:45:01 CET 2014;-1.0;Muhammad in the Holy Quran: Who was he? Farrakhan Schools the Scholars! http://t.co/xFTHpNOmCH
108;Thu Nov 13 00:44:57 CET 2014;-1.0;Sadgrovem islamrevisited2 
109;Thu Nov 13 00:44:51 CET 2014;7.1;"paanMF: Recite Al-Quran, you'll find true peace and happiness."
110;Thu Nov 13 00:44:46 CET 2014;6.49;RT justamuslimah: ? Don't limit your relationship with the Quran " Ramadan to Ramadan ",keep you relationship through out the year by at l…
111;Thu Nov 13 00:44:31 CET 2014;-1.0;RT _M_G_W_V_: ????????
112;Thu Nov 13 00:44:24 CET 2014;5.77;A group chat with Sierra, Quran, Noemi, and me.. Jeezzzz
113;Thu Nov 13 00:44:14 CET 2014;-1.0;RT _M_G_W_V_: ????????
114;Thu Nov 13 00:44:06 CET 2014;6.42;RT WajidQureshii: Any verse frm The Quran dat u recite,reflect&act upon ll'b a light dat ll illuminate ur grave.Increase dis light
115;Thu Nov 13 00:44:05 CET 2014;-1.0;RT KeithNotSweat: Oomf got a bae ??
116;Thu Nov 13 00:44:04 CET 2014;-1.0;RT DMZVET: IslamicFreedom
117;Thu Nov 13 00:43:53 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
118;Thu Nov 13 00:43:27 CET 2014;-1.0;RT _M_G_W_V_: ????????
119;Thu Nov 13 00:43:15 CET 2014;5.11;Boy if anthropic prin. r acknowledging Christians cling to bible and guns? Muslims? Quran, beard, a sword, and an explosive vest or vehicle.
120;Thu Nov 13 00:43:04 CET 2014;6.4;RT zedarsln: And Allah wants to lighten for you (yr difficulities) & mankind was created weak.
121;Thu Nov 13 00:43:04 CET 2014;5.56;American convert to Islam after hearing a verse from the Quran  Muslim Christian Jew Hindu Sikh Atheists http://t.co/o4HXewAMO6
122;Thu Nov 13 00:43:00 CET 2014;6.32;RT zedarsln: If you want talk to Allah, then pray.
123;Thu Nov 13 00:42:51 CET 2014;5.63;Former Muslim woman saw Jesus Christ and found Peace & Love (Muslim Testimony)
124;Thu Nov 13 00:42:33 CET 2014;6.08;RT laila_haya: New generation :
125;Thu Nov 13 00:42:27 CET 2014;-1.0;RT _M_G_W_V_: ????????
126;Thu Nov 13 00:42:23 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
127;Thu Nov 13 00:42:23 CET 2014;-1.0;IslamicFreedom
128;Thu Nov 13 00:42:21 CET 2014;-1.0;"That which is left by Allah for you (after giving the rights of the people) is better for you, if y... http://t.co/3mjqWGb3iT Quran 11:86
129;Thu Nov 13 00:42:05 CET 2014;-1.0;RT _M_G_W_V_: ????????
130;Thu Nov 13 00:42:04 CET 2014;6.32;The Quran & science | Expansion of the universe| http://t.co/dmVxYbpx6F  Islam Europe USA World News Russia Australia Asia
131;Thu Nov 13 00:42:04 CET 2014;-1.0;RT _M_G_W_V_: ????????
132;Thu Nov 13 00:42:02 CET 2014;-1.0;The Quran tells us: http://t.co/JgeZnC6kRk  islam Muslims Muslim Europe USA World Russia Australia Asia http://t.co/PyN5H4kSfo
133;Thu Nov 13 00:42:00 CET 2014;-1.0;RT _M_G_W_V_: ????????
134;Thu Nov 13 00:41:58 CET 2014;-1.0;Sadgrovem islamrevisited2 
135;Thu Nov 13 00:41:58 CET 2014;-1.0;RT _M_G_W_V_: ????????
136;Thu Nov 13 00:41:54 CET 2014;-1.0;Photo: borntobemuslim: Beautiful Quran Calligraphy (Plaited Kufic Style). Translation: Allah has full... http://t.co/Z9XDw6odMQ
137;Thu Nov 13 00:41:17 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
138;Thu Nov 13 00:41:15 CET 2014;-1.0;RT islamicfreedom: Subhan'Allah the smallest quran in the world.. http://t.co/5Kn4SHzSNE
139;Thu Nov 13 00:41:11 CET 2014;-1.0;http://t.co/xC66tMKofb has 7 Users Online! - http://t.co/Usg5VrlF5Z
140;Thu Nov 13 00:41:11 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
141;Thu Nov 13 00:41:08 CET 2014;7.83;RT topislamictwit: Your relationship with the Quran determines your relationship with Allah SWT. islam
142;Thu Nov 13 00:41:05 CET 2014;6.49;RT justamuslimah: ? Don't limit your relationship with the Quran " Ramadan to Ramadan ",keep you relationship through out the year by at l…
143;Thu Nov 13 00:40:23 CET 2014;-1.0;RT MYVETERAN: IslamicFreedom Message from God to the Evil Prophet Mohamed
144;Thu Nov 13 00:40:19 CET 2014;6.09;A little advice for my brothers and sisters :) islam muslim duaa quran bedtime allah alhamdullilah muslimeen http://t.co/wVpnXF60DS
145;Thu Nov 13 00:40:19 CET 2014;-1.0;RT _M_G_W_V_: ????????
146;Thu Nov 13 00:40:12 CET 2014;6.08;RT DailyLearnQuran: New generation 
147;Thu Nov 13 00:40:10 CET 2014;4.5;Israeli settlers torch mosque, copies of the Quran in West Bank http://t.co/YQ9BSpeqDV
148;Thu Nov 13 00:39:59 CET 2014;-1.0;RT _M_G_W_V_: ????????
149;Thu Nov 13 00:39:53 CET 2014;-1.0;Sadgrovem islamrevisited2 
150;Thu Nov 13 00:39:36 CET 2014;-1.0;RT _M_G_W_V_: ????????
151;Thu Nov 13 00:39:32 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
152;Thu Nov 13 00:39:24 CET 2014;6.06;3 and what should be the stance towards them. But I have seen many men from whom one is given the Quran before iman and he reads it from the
153;Thu Nov 13 00:39:23 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
154;Thu Nov 13 00:39:20 CET 2014;5.79;RT basedamERICan: This nigga Osama could've been starting SG for the Pakistan's Olympic basketball team droppin 3s instead of bombs smh ht…
155;Thu Nov 13 00:39:11 CET 2014;-1.0;RT _M_G_W_V_: ????????
156;Thu Nov 13 00:39:09 CET 2014;-1.0;IslamicFreedom Message from God to the Evil Prophet Mohamed
157;Thu Nov 13 00:39:08 CET 2014;-1.0;RT _M_G_W_V_: ????????
158;Thu Nov 13 00:38:39 CET 2014;-1.0;RT _M_G_W_V_: ????????
159;Thu Nov 13 00:38:37 CET 2014;5.59;RT _Why_Islam: Dua is the answer to all worries?. islam muslim  allah dua  quran salah pray hijab masjid mosque deen http://t.c…
160;Thu Nov 13 00:38:33 CET 2014;6.49;RT justamuslimah: ? Don't limit your relationship with the Quran " Ramadan to Ramadan ",keep you relationship through out the year by at l…
161;Thu Nov 13 00:38:33 CET 2014;-1.0;RT _M_G_W_V_: ????????
162;Thu Nov 13 00:38:31 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
163;Thu Nov 13 00:38:27 CET 2014;-1.0;RT _M_G_W_V_: ????????
164;Thu Nov 13 00:38:24 CET 2014;-1.0;RT _M_G_W_V_: ????????
165;Thu Nov 13 00:38:19 CET 2014;6.34;1 Abdullah ibn Umar: "We lived during an instant of time in which one of us would receive faith first before receiving the Quran and when
166;Thu Nov 13 00:38:14 CET 2014;5.18;RT TheTariqJameel: "[O Muhammad], inform My servants that
167;Thu Nov 13 00:38:12 CET 2014;-1.0;Sadgrovem islamrevisited2 
168;Thu Nov 13 00:38:09 CET 2014;-1.0;RT _M_G_W_V_: ????????
169;Thu Nov 13 00:38:05 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
170;Thu Nov 13 00:38:03 CET 2014;-1.0;RT EuroActivist: Was Jesus a Spy? ? http://t.co/Cmi0i0BZgE
171;Thu Nov 13 00:38:03 CET 2014;-1.0;RT Hizbuttahrir_HT: King's Scholar$ Aiding America's WarOnIslamNotISIS WarOnIslam Hizbuttahrir Islam Quran Deen Ummah Khilafah htt…
172;Thu Nov 13 00:37:59 CET 2014;2.55;My bitch is your bitch ? HANGING
173;Thu Nov 13 00:37:57 CET 2014;-1.0;RT _M_G_W_V_: ????????
174;Thu Nov 13 00:37:57 CET 2014;-1.0;RT _M_G_W_V_: ????????
175;Thu Nov 13 00:37:56 CET 2014;-1.0;RT _M_G_W_V_: ????????
176;Thu Nov 13 00:37:55 CET 2014;-1.0;RT _M_G_W_V_: ????????
177;Thu Nov 13 00:37:55 CET 2014;-1.0;RT danialzz__: *Results day*
178;Thu Nov 13 00:37:53 CET 2014;-1.0;RT _M_G_W_V_: ????????
179;Thu Nov 13 00:37:49 CET 2014;7.19;Meteors: Establish the truth of the Holy Quran
180;Thu Nov 13 00:37:49 CET 2014;6.34;MaajidNawaz drusamahasan I wonder whether he rejects verse 8:12 in the Quran which calls on muslims to behead non muslims.
181;Thu Nov 13 00:37:47 CET 2014;6.42;RT WajidQureshii: Any verse frm The Quran dat u recite,reflect&act upon ll'b a light dat ll illuminate ur grave.Increase dis light
182;Thu Nov 13 00:37:46 CET 2014;-1.0;RT _M_G_W_V_: ????????
183;Thu Nov 13 00:37:41 CET 2014;-1.0;RT _M_G_W_V_: ????????
184;Thu Nov 13 00:37:41 CET 2014;-1.0;RT islamicfreedom: Subhan'Allah the smallest quran in the world.. http://t.co/5Kn4SHzSNE
185;Thu Nov 13 00:37:34 CET 2014;-1.0;RT _M_G_W_V_: ????????
186;Thu Nov 13 00:37:33 CET 2014;-1.0;RT _M_G_W_V_: ????????
187;Thu Nov 13 00:37:32 CET 2014;-1.0;Join for 3 days Free online Quran lessons. (united States):  
188;Thu Nov 13 00:37:32 CET 2014;-1.0;Join for 3 days Free online Quran lessons. (united States):  
189;Thu Nov 13 00:37:32 CET 2014;-1.0;Join for 3 days Free online Quran lessons. (united States):  
190;Thu Nov 13 00:37:31 CET 2014;-1.0;RT _M_G_W_V_: ????????
191;Thu Nov 13 00:37:27 CET 2014;4.5;RT AlakhbarEnglish: Israeli settlers torch mosque, copies of the Quran in WestBank 
192;Thu Nov 13 00:37:25 CET 2014;-1.0;Jundub Ibn Abdullah al-Bajaly said, "We learned iman (faith) and then we learned the Quran and it increased our iman."
193;Thu Nov 13 00:37:23 CET 2014;5.57;harun_yahya No man, give evidence for that from the quran and ahadith, satan will remain until the day of judgement and then go to hellfire
194;Thu Nov 13 00:37:21 CET 2014;-1.0;RT _M_G_W_V_: ????????
195;Thu Nov 13 00:37:15 CET 2014;-1.0;RT _M_G_W_V_: ????????
196;Thu Nov 13 00:37:13 CET 2014;-1.0;RT _M_G_W_V_: ????????
197;Thu Nov 13 00:37:06 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
198;Thu Nov 13 00:36:57 CET 2014;5.0;“_Fvb_: No Friday classes next semester ?”
199;Thu Nov 13 00:36:53 CET 2014;-1.0;Sadgrovem islamrevisited2 
200;Thu Nov 13 00:36:51 CET 2014;5.94;Always keep two , one might be a hoe
201;Thu Nov 13 00:36:50 CET 2014;-1.0;Quote from the Holy Quran, Hud (11:63) muslimpro http://t.co/aciAGOeTDA http://t.co/aciAGOeTDA http://t.co/0TSnO8NNWI
202;Thu Nov 13 00:36:39 CET 2014;-1.0;RT _M_G_W_V_: ????????
203;Thu Nov 13 00:36:14 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
204;Thu Nov 13 00:36:10 CET 2014;-1.0;RT _M_G_W_V_: ????????
205;Thu Nov 13 00:36:06 CET 2014;5.64;He will go ahead of his people on the Day of Resurrection, and will lead them into the Fire, and evi... http://t.co/0EYpVuWjFa Quran 11:98
206;Thu Nov 13 00:36:03 CET 2014;-1.0;RT _M_G_W_V_: ????????
207;Thu Nov 13 00:35:57 CET 2014;-1.0;RT _M_G_W_V_: ????????
208;Thu Nov 13 00:35:56 CET 2014;-1.0;RT _M_G_W_V_: ????????
209;Thu Nov 13 00:35:51 CET 2014;-1.0;RT DMZVET: SayedMBQazwini Message from God and the Evil Prophet Mohamed
210;Thu Nov 13 00:35:48 CET 2014;-1.0;RT _M_G_W_V_: ????????
211;Thu Nov 13 00:35:29 CET 2014;-1.0;RT _M_G_W_V_: ????????
212;Thu Nov 13 00:35:29 CET 2014;-1.0;RT ExoFvck: Goals http://t.co/ACVtzmBGY7
213;Thu Nov 13 00:35:20 CET 2014;-1.0;RT _M_G_W_V_: ????????
214;Thu Nov 13 00:35:10 CET 2014;-1.0;RT _M_G_W_V_: ????????
215;Thu Nov 13 00:35:07 CET 2014;-1.0;SayedMBQazwini Message from God and the Evil Prophet Mohamed
216;Thu Nov 13 00:35:06 CET 2014;-1.0;Quote from the Holy Quran, Hud (11:61) muslimpro http://t.co/aciAGOeTDA http://t.co/aciAGOeTDA http://t.co/ILLQefHyDS
217;Thu Nov 13 00:35:03 CET 2014;6.32;The Quran & science | Expansion of the universe| http://t.co/dmVxYbpx6F Islam Muslim Christian Jew Hindu Buddhist Sikh Atheists
218;Thu Nov 13 00:34:57 CET 2014;-1.0;RT _M_G_W_V_: ????????
219;Thu Nov 13 00:34:40 CET 2014;6.02;What's understood shouldn't have to be explained
220;Thu Nov 13 00:34:39 CET 2014;-1.0;RT _M_G_W_V_: ????????
221;Thu Nov 13 00:34:39 CET 2014;-1.0;RT _M_G_W_V_: ????????
222;Thu Nov 13 00:34:31 CET 2014;5.62;StaciStatic what's the guy's name you had on 95.5 today? Quran something??
223;Thu Nov 13 00:34:29 CET 2014;-1.0;RT AerxlHeroes: *Results day*
224;Thu Nov 13 00:34:25 CET 2014;-1.0;RT liptonlady: paulolim sweetdreamdairy straight out of the Quran - al-Taqiyya: 
225;Thu Nov 13 00:34:23 CET 2014;-1.0;RT _M_G_W_V_: ????????
226;Thu Nov 13 00:34:22 CET 2014;-1.0;RT _M_G_W_V_: ????????
227;Thu Nov 13 00:34:21 CET 2014;-1.0;RT _M_G_W_V_: ????????
228;Thu Nov 13 00:34:21 CET 2014;6.08;RT laila_haya: New generation :
229;Thu Nov 13 00:34:20 CET 2014;-1.0;RT _M_G_W_V_: ????????
